Great Lakes Regional,112,238,Caitlin McGauley (JR),22:38.4,6:04,Marquette (MARQ),22,38
Great Lakes Regional,113,41,Mia Beckham (FR),22:38.6,6:04,Butler (BUTL),22,39
Great Lakes Regional,114,109,Allison Triskett (SR),22:39.2,6:04,Dayton (DAYT),22,39
Great Lakes Regional,115,256,Emma Mashburn (SR),22:39.3,6:04,Miami (Ohio)(MIAO),22,39
Great Lakes Regional,116,506,Victoria Angelopoulos (JR),22:41.3,6:05,Wright State (WRST),22,41
Great Lakes Regional,117,560,Shannon Dugan,22:41.8,6:05,Wis.-Milwaukee (MILW),22,42
Great Lakes Regional,118,360,Abby Miller (JR),22:43.5,6:06,Ohio (OHIO),22,44
Great Lakes Regional,119,252,Emma Bryant (SO),22:44.5,6:06,Miami (Ohio)(MIAO),22,45
Great Lakes Regional,120,442,Katherine Germann (JR),22:44.8,6:06,Valparaiso (VALP),22,45
Great Lakes Regional,121,375,Devon Leahy (JR),22:45.3,6:06,Ohio State (OHST),22,45
Great Lakes Regional,122,524,Amanda Cusimano (SO),22:45.9,6:06,Xavier (Ohio)(XAVI),22,46
Great Lakes Regional,123,427,Petronela Simiuc (JR),22:47.5,6:07,Toledo (TOLE),22,48
Great Lakes Regional,124,566,Meg Swietlik,22:48.9,6:07,Wis.-Milwaukee (MILW),22,49
Great Lakes Regional,125,221,Shelby Pake (JR),22:50.4,6:07,Iupui (IUPU),22,50
Great Lakes Regional,126,61,Lauren Beckmann (FR),22:51.0,6:08,Central Michigan (CMU),22,51
Great Lakes Regional,127,229,Leah Lisle (FR),22:51.2,6:08,Kent State (KENT),22,51
Great Lakes Regional,128,547,Nicole Squatrito (SO),22:51.6,6:08,Youngstown St. (YSU),22,52
Great Lakes Regional,129,509,Molly Kearns (JR),22:53.5,6:08,Wright State (WRST),22,53
Great Lakes Regional,130,380,Lainey Studebaker (JR),22:55.8,6:09,Ohio State (OHST),22,56
Great Lakes Regional,131,60,Natalie Beaulieu (JR),22:56.1,6:09,Central Michigan (CMU),22,56
Great Lakes Regional,132,546,Maggie Sebest (FR),22:56.9,6:09,Youngstown St. (YSU),22,57
Great Lakes Regional,133,66,Maija Rettelle (FR),22:58.2,6:10,Central Michigan (CMU),22,58
Great Lakes Regional,134,562,Hailey Migliano,22:58.9,6:10,Wis.-Milwaukee (MILW),22,59
Great Lakes Regional,135,97,Jessica Finley (JR),23:00.0,6:10,Cleveland St. (CLST),23,0
Great Lakes Regional,136,84,Katrina Patterson (SO),23:01.0,6:10,Cincinnati (CINC),23,1
Great Lakes Regional,137,354,Hailey Bowes (SO),23:02.8,6:11,Ohio (OHIO),23,3
Great Lakes Regional,138,27,Jessi Lindstrom (SO),23:03.3,6:11,Bowling Green (BGSU),23,3
Great Lakes Regional,139,461,Brittney Hall (JR),23:04.5,6:11,Western Michigan (WMU),23,4
Great Lakes Regional,140,145,Kaitlyn St. Bernard (FR),23:05.5,6:11,Eastern Michigan (EMU),23,6
Great Lakes Regional,141,527,Courtney Klatt (FR),23:06.4,6:12,Xavier (Ohio)(XAVI),23,6
Great Lakes Regional,142,565,Emily Sass,23:07.0,6:12,Wis.-Milwaukee (MILW),23,7
Great Lakes Regional,143,199,Jocelyn Quiles (FR),23:07.4,6:12,Indiana State (INST),23,7
Great Lakes Regional,144,254,McKenna Fry (FR),23:08.3,6:12,Miami (Ohio)(MIAO),23,8
Great Lakes Regional,145,241,Kendall Pfrimmer (FR),23:09.8,6:13,Marquette (MARQ),23,10
Great Lakes Regional,146,463,Chloe McEachern (FR),23:10.7,6:13,Western Michigan (WMU),23,11
Great Lakes Regional,147,106,Carlee Constable (SO),23:10.9,6:13,Dayton (DAYT),23,11
Great Lakes Regional,148,3,Elizabeth Gurko (FR),23:12.9,6:13,Akron (AKR),23,13
Great Lakes Regional,149,343,Rachel Kempf (FR),23:13.7,6:14,Oakland (OAKL),23,14
Great Lakes Regional,150,77,Sammy Hentz (JR),23:14.7,6:14,Cincinnati (CINC),23,15
Great Lakes Regional,151,24,Megan Aalberts (FR),23:15.3,6:14,Bowling Green (BGSU),23,15
Great Lakes Regional,152,196,Megan Doty (SR),23:16.3,6:14,Indiana State (INST),23,16
Great Lakes Regional,153,5,Elizabeth Mosier (SR),23:17.2,6:15,Akron (AKR),23,17
Great Lakes Regional,154,107,Katie Miller (FR),23:17.3,6:15,Dayton (DAYT),23,17
Great Lakes Regional,155,529,Jane Onders (JR),23:17.6,6:15,Xavier (Ohio)(XAVI),23,18
Great Lakes Regional,156,233,Emily Foley (SO),23:17.7,6:15,Marquette (MARQ),23,18
Great Lakes Regional,157,75,Maggie Breitenstein (FR),23:17.8,6:15,Cincinnati (CINC),23,18
Great Lakes Regional,158,22,Emmalyne Tarsa (SO),23:18.2,6:15,Ball State (BALL),23,18
Great Lakes Regional,159,544,Jennifer Muhlenkamp (SR),23:18.7,6:15,Youngstown St. (YSU),23,19
Great Lakes Regional,160,234,Amy Gasperlin (JR),23:19.1,6:15,Marquette (MARQ),23,19
Great Lakes Regional,161,408,Hannah Aschliman (SR),23:19.5,6:15,Purdue Fort Wayne (PFW),23,19
Great Lakes Regional,162,564,Megan Safranski,23:19.6,6:15,Wis.-Milwaukee (MILW),23,20
Great Lakes Regional,163,76,Ellee Bullock (FR),23:20.3,6:15,Cincinnati (CINC),23,20
Great Lakes Regional,164,508,Abigail Halsey (SO),23:21.8,6:16,Wright State (WRST),23,22
Great Lakes Regional,165,201,Michaela Ward (JR),23:22.0,6:16,Indiana State (INST),23,22
Great Lakes Regional,166,23,Lauren Whitehouse (JR),23:22.0,6:16,Ball State (BALL),23,22
Great Lakes Regional,167,459,Courtney Allen (SO),23:22.9,6:16,Western Michigan (WMU),23,23
Great Lakes Regional,168,237,Nora Keller (SR),23:24.0,6:17,Marquette (MARQ),23,24
Great Lakes Regional,169,545,Mackenzie Scott (FR),23:24.2,6:17,Youngstown St. (YSU),23,24
Great Lakes Regional,170,6,Ashley Murray (SR),23:25.0,6:17,Akron (AKR),23,25
Great Lakes Regional,171,128,Veronica Towianski (SR),23:27.6,6:17,Detroit Mercy (DETM),23,28
Great Lakes Regional,172,59,Samantha Allmacher (SR),23:28.8,6:18,Central Michigan (CMU),23,29
Great Lakes Regional,173,353,Madelyn Bartolone (FR),23:35.5,6:20,Ohio (OHIO),23,35
Great Lakes Regional,174,232,Mary Rose Flood (FR),23:37.5,6:20,Marquette (MARQ),23,37
Great Lakes Regional,175,359,Melissa Koziol (JR),23:38.0,6:20,Ohio (OHIO),23,38
Great Lakes Regional,176,124,Kayla Hughes (JR),23:38.4,6:20,Detroit Mercy (DETM),23,38
Great Lakes Regional,177,216,Amairany Cruz (SR),23:39.8,6:21,Iupui (IUPU),23,40
Great Lakes Regional,178,358,Tiffany Hill (JR),23:42.1,6:21,Ohio (OHIO),23,42
Great Lakes Regional,179,25,Allison Holahan (SO),23:42.6,6:21,Bowling Green (BGSU),23,43
Great Lakes Regional,180,541,Natalie Fleming (SO),23:43.0,6:22,Youngstown St. (YSU),23,43
Great Lakes Regional,181,342,Macy Gustavus (JR),23:45.9,6:22,Oakland (OAKL),23,46
Great Lakes Regional,182,21,Meliza Rodriguez (JR),23:49.7,6:23,Ball State (BALL),23,50
Great Lakes Regional,183,357,Emily Deering (SR),23:50.6,6:24,Ohio (OHIO),23,51
Great Lakes Regional,184,194,Tara Cassidy (FR),23:52.7,6:24,Indiana State (INST),23,53
Great Lakes Regional,185,220,Janine Orvis (SO),23:55.3,6:25,Iupui (IUPU),23,55
Great Lakes Regional,186,82,Samantha Mikula (SO),23:57.5,6:25,Cincinnati (CINC),23,57
Great Lakes Regional,187,340,Bailey Cronin (SO),23:57.9,6:25,Oakland (OAKL),23,58
Great Lakes Regional,188,414,Rebecca Sippel (SR),23:58.9,6:26,Purdue Fort Wayne (PFW),23,59
Great Lakes Regional,189,411,Sophia Hirzel (SO),24:07.6,6:28,Purdue Fort Wayne (PFW),24,8
Great Lakes Regional,190,32,Allie Zofkie (FR),24:09.2,6:29,Bowling Green (BGSU),24,9
Great Lakes Regional,191,103,Kylie Scott (SO),24:10.5,6:29,Cleveland St. (CLST),24,11
Great Lakes Regional,192,213,Jessica Backherms (JR),24:12.2,6:29,Iupui (IUPU),24,12
Great Lakes Regional,193,156,Ashton Bosler (SR),24:19.9,6:31,Evansville (EVAN),24,20
Great Lakes Regional,194,439,Sarah Caesar (SO),24:26.6,6:33,Valparaiso (VALP),24,27
Great Lakes Regional,195,127,Victoria Ostrander (JR),24:29.2,6:34,Detroit Mercy (DETM),24,29
Great Lakes Regional,196,157,Sienna Crews (SR),24:31.3,6:35,Evansville (EVAN),24,31
Great Lakes Regional,197,409,Bailie Brown (FR),24:41.0,6:37,Purdue Fort Wayne (PFW),24,41
Great Lakes Regional,198,511,Lauren Shuman (SO),24:41.6,6:37,Wright State (WRST),24,42
Great Lakes Regional,199,469,Meta Ehlen,24:44.2,6:38,Wis.-Green Bay (UWGB),24,44
Great Lakes Regional,200,471,Alexandra Kershner,24:45.3,6:38,Wis.-Green Bay (UWGB),24,45
Great Lakes Regional,201,83,Maddie O'Dea (FR),24:48.9,6:39,Cincinnati (CINC),24,49
Great Lakes Regional,202,100,Lily Michael (FR),24:54.6,6:41,Cleveland St. (CLST),24,55
Great Lakes Regional,203,540,Morgan Buckley (FR),24:56.5,6:41,Youngstown St. (YSU),24,56
Great Lakes Regional,204,99,Heather McArdle (FR),24:57.5,6:42,Cleveland St. (CLST),24,57
Great Lakes Regional,205,101,Graicen Riley (FR),24:57.5,6:42,Cleveland St. (CLST),24,57
Great Lakes Regional,206,126,Rebecca Measel (SO),24:58.8,6:42,Detroit Mercy (DETM),24,59
Great Lakes Regional,207,159,Haylee Harmeyer (FR),25:02.3,6:43,Evansville (EVAN),25,2
Great Lakes Regional,208,412,Caitlyn Kiekhaefer (SR),25:17.5,6:47,Purdue Fort Wayne (PFW),25,17
Great Lakes Regional,209,476,Alexia Oyer (FR),25:21.5,6:48,Wis.-Green Bay (UWGB),25,22
Great Lakes Regional,210,142,Lexi Seifert (FR),25:29.7,6:50,Eastern Michigan (EMU),25,30
Great Lakes Regional,211,98,Olivia Hammons (JR),25:30.8,6:50,Cleveland St. (CLST),25,31
Great Lakes Regional,212,441,Maranda Donahue (FR),25:31.8,6:51,Valparaiso (VALP),25,32
Great Lakes Regional,213,443,Taylor Justison (JR),25:39.9,6:53,Valparaiso (VALP),25,40
Great Lakes Regional,214,468,Miranda Dreckschmidt (SR),25:43.2,6:54,Wis.-Green Bay (UWGB),25,43
Great Lakes Regional,215,475,Sarah Niehueser (FR),25:48.4,6:55,Wis.-Green Bay (UWGB),25,48
Great Lakes Regional,216,123,Sarah DeDolph (JR),25:55.3,6:57,Detroit Mercy (DETM),25,55
Great Lakes Regional,217,474,Neda Mobasher (FR),26:05.5,7:00,Wis.-Green Bay (UWGB),26,5
Great Lakes Regional,218,161,Lauren Meyer (SO),26:14.1,7:02,Evansville (EVAN),26,14
Great Lakes Regional,219,445,Sarah Messerschmidt (FR),26:26.8,7:05,Valparaiso (VALP),26,27
Great Lakes Regional,220,158,Izzy Dawson (SO),26:28.5,7:06,Evansville (EVAN),26,29
Great Lakes Regional,221,163,Katelyn Singh (FR),26:33.6,7:07,Evansville (EVAN),26,34
Great Lakes Regional,222,410,Emily Fuelling (FR),26:56.7,7:13,Purdue Fort Wayne (PFW),26,57
Great Lakes Regional,223,440,Kailee Carro (FR),27:05.2,7:16,Valparaiso (VALP),27,5
Great Lakes Regional,224,478,Hannah Suarez (FR),27:08.3,7:17,Wis.-Green Bay (UWGB),27,8
Great Lakes Regional,225,444,Claire Kovarik (FR),27:46.1,7:27,Valparaiso (VALP),27,46
